nr;organization;userType;country;DQ_F1;DQ_In_F1;DQ_F2;DQ_In_F2
138;OECD Global Partnership on Artificial Intelligence (Social Media Governance project);Non-governmental organisation (NGO);Ireland;NA;NA;Mentioning DQ;Mentioning DQ
139;CELE and InternetLab;Academic/research Institution;Argentina;NA;NA;Not mentioning DQ;Not mentioning DQ
140;GESIS - Leibniz Institute for the Social Sciences;Academic/research Institution;Germany;NA;NA;Mentioning DQ;Mentioning DQ
141;Hilary Ross;Non-EU citizen;United States;NA;NA;Not mentioning DQ;Not mentioning DQ
142;Data Science research group, Politecnico di Milano // Social Physics and Complexity Lab, Portugal // Amsterdam School of Communication Research // Strategic Communication Group, Wageningen // imec-mict-UGent, Ghent U // Media Psychology Lab, U of Leuven;Academic/research Institution;Belgium;NA;NA;Mentioning DQ;Mentioning DQ
143;Accelerator;Academic/research Institution;United States;NA;NA;Mentioning DQ;Mentioning DQ
144;X;Company/business;Ireland;NA;NA;Not mentioning DQ;Not mentioning DQ
145;Paddy Leerssen;EU citizen;Netherlands;NA;NA;Not mentioning DQ;Not mentioning DQ
146;Integrity Institute;Academic/research Institution;United States;NA;NA;Mentioning DQ;Mentioning DQ
147;Czech Telecommunication Office;Public authority;Czechia;NA;NA;Not mentioning DQ;Not mentioning DQ
148;FER;Business association;Spain;NA;NA;Not mentioning DQ;Not mentioning DQ
149;International Panel on the Information Environment (IPIE);Academic/research Institution;Switzerland;NA;NA;Mentioning DQ;Mentioning DQ
150;Mnemonic;Non-governmental organisation (NGO);Germany;NA;NA;Not mentioning DQ;Not mentioning DQ
